order_item_id,order_id,potion_sku,quantity,unit_price_copper
ITM-000001,ORD-000001,POT-0053,3,766
ITM-000002,ORD-000001,POT-0025,2,766
ITM-000003,ORD-000001,POT-0081,3,866
ITM-000004,ORD-000002,POT-0079,1,1028
ITM-000005,ORD-000002,POT-0036,2,859
ITM-000006,ORD-000002,POT-0045,1,1087
ITM-000007,ORD-000003,POT-0045,1,1092
ITM-000008,ORD-000003,POT-0017,1,1269
ITM-000009,ORD-000004,POT-0041,1,1360
ITM-000010,ORD-000004,POT-0004,1,1487
ITM-000011,ORD-000004,POT-0023,1,692
ITM-000012,ORD-000005,POT-0101,2,679
ITM-000013,ORD-000005,POT-0009,4,545
ITM-000014,ORD-000005,POT-0044,1,682
ITM-000015,ORD-000005,POT-0011,1,1512
ITM-000016,ORD-000005,POT-0001,2,96
ITM-000017,ORD-000005,POT-0020,5,1468
ITM-000018,ORD-000006,POT-0085,2,1351
ITM-000019,ORD-000006,POT-0062,1,119
ITM-000020,ORD-000007,POT-0012,2,225
ITM-000021,ORD-000008,POT-0100,1,548
ITM-000022,ORD-000008,POT-0058,1,324
ITM-000023,ORD-000008,POT-0005,1,954
ITM-000024,ORD-000008,POT-0004,1,1384
ITM-000025,ORD-000009,POT-0003,1,455
ITM-000026,ORD-000009,POT-0009,4,530
ITM-000027,ORD-000009,POT-0072,3,665
ITM-000028,ORD-000009,POT-0021,2,867
ITM-000029,ORD-000010,POT-0065,1,1085
ITM-000030,ORD-000010,POT-0064,1,696
ITM-000031,ORD-000010,POT-0001,1,102
ITM-000032,ORD-000010,POT-0041,1,1305
ITM-000033,ORD-000010,POT-0023,1,665
ITM-000034,ORD-000011,POT-0034,1,703
ITM-000035,ORD-000011,POT-0058,1,336
ITM-000036,ORD-000011,POT-0046,1,864
ITM-000037,ORD-000012,POT-0009,1,557
ITM-000038,ORD-000012,POT-0094,1,1153
ITM-000039,ORD-000013,POT-0043,1,682
ITM-000040,ORD-000013,POT-0012,1,222
ITM-000041,ORD-000013,POT-0102,2,1327
ITM-000042,ORD-000014,POT-0083,1,1344
ITM-000043,ORD-000014,POT-0038,1,566
ITM-000044,ORD-000014,POT-0044,2,669
ITM-000045,ORD-000014,POT-0002,4,936
ITM-000046,ORD-000014,POT-0022,1,262
ITM-000047,ORD-000014,POT-0067,2,176
ITM-000048,ORD-000014,POT-0094,1,1102
ITM-000049,ORD-000014,POT-0021,1,897
ITM-000050,ORD-000015,POT-0091,1,283
ITM-000051,ORD-000015,POT-0024,1,1471
ITM-000052,ORD-000015,POT-0022,2,286
ITM-000053,ORD-000015,POT-0079,1,1055
ITM-000054,ORD-000015,POT-0058,1,333
ITM-000055,ORD-000016,POT-0021,2,841
ITM-000056,ORD-000016,POT-0002,1,948
ITM-000057,ORD-000017,POT-0018,1,1062
ITM-000058,ORD-000017,POT-0024,4,1552
ITM-000059,ORD-000017,POT-0020,3,1452
ITM-000060,ORD-000018,POT-0002,3,943
ITM-000061,ORD-000018,POT-0068,5,811
ITM-000062,ORD-000018,POT-0003,1,492
ITM-000063,ORD-000019,POT-0036,1,806
ITM-000064,ORD-000019,POT-0066,1,268
ITM-000065,ORD-000020,POT-0036,1,816
ITM-000066,ORD-000020,POT-0104,2,200
ITM-000067,ORD-000021,POT-0041,1,1347
ITM-000068,ORD-000021,POT-0003,1,451
ITM-000069,ORD-000022,POT-0002,1,904
ITM-000070,ORD-000022,POT-0017,1,1238
ITM-000071,ORD-000022,POT-0023,2,650
ITM-000072,ORD-000022,POT-0038,1,550
ITM-000073,ORD-000023,POT-0012,3,235
ITM-000074,ORD-000023,POT-0084,1,716
ITM-000075,ORD-000023,POT-0047,1,1430
ITM-000076,ORD-000023,POT-0043,2,698
ITM-000077,ORD-000024,POT-0081,2,899
ITM-000078,ORD-000024,POT-0021,4,900
ITM-000079,ORD-000025,POT-0005,2,952
ITM-000080,ORD-000025,POT-0085,5,1353
ITM-000081,ORD-000025,POT-0066,2,275
ITM-000082,ORD-000026,POT-0012,1,233
ITM-000083,ORD-000026,POT-0003,1,462
ITM-000084,ORD-000027,POT-0103,2,1150
ITM-000085,ORD-000027,POT-0012,1,227
ITM-000086,ORD-000027,POT-0089,1,1216
ITM-000087,ORD-000028,POT-0058,1,326
ITM-000088,ORD-000029,POT-0046,1,887
ITM-000089,ORD-000029,POT-0105,5,882
ITM-000090,ORD-000029,POT-0082,2,318
ITM-000091,ORD-000029,POT-0022,1,264
ITM-000092,ORD-000029,POT-0020,1,1410
ITM-000093,ORD-000029,POT-0069,1,127
ITM-000094,ORD-000030,POT-0036,2,865
ITM-000095,ORD-000030,POT-0068,5,742
ITM-000096,ORD-000030,POT-0091,1,284
ITM-000097,ORD-000030,POT-0003,1,497
ITM-000098,ORD-000030,POT-0051,1,1058
ITM-000099,ORD-000030,POT-0022,1,283
ITM-000100,ORD-000030,POT-0052,1,96
ITM-000101,ORD-000031,POT-0005,1,950
ITM-000102,ORD-000031,POT-0001,1,97
ITM-000103,ORD-000031,POT-0058,2,316
ITM-000104,ORD-000031,POT-0082,2,313
ITM-000105,ORD-000032,POT-0079,1,1039
ITM-000106,ORD-000033,POT-0021,4,916
ITM-000107,ORD-000033,POT-0085,1,1317
ITM-000108,ORD-000033,POT-0100,1,567
ITM-000109,ORD-000033,POT-0094,1,1130
ITM-000110,ORD-000033,POT-0045,1,1126
ITM-000111,ORD-000033,POT-0024,4,1503
ITM-000112,ORD-000034,POT-0023,1,683
ITM-000113,ORD-000034,POT-0044,1,690
ITM-000114,ORD-000034,POT-0114,1,512
ITM-000115,ORD-000034,POT-0020,1,1367
ITM-000116,ORD-000034,POT-0103,1,1159
ITM-000117,ORD-000034,POT-0073,1,1309
ITM-000118,ORD-000035,POT-0089,1,1241
ITM-000119,ORD-000036,POT-0100,3,567
ITM-000120,ORD-000036,POT-0001,1,100
ITM-000121,ORD-000036,POT-0080,3,591
ITM-000122,ORD-000037,POT-0024,1,1499
ITM-000123,ORD-000037,POT-0051,2,1074
ITM-000124,ORD-000037,POT-0026,3,855
ITM-000125,ORD-000037,POT-0082,1,338
ITM-000126,ORD-000038,POT-0116,1,1251
ITM-000127,ORD-000038,POT-0034,1,674
