order_id,customer_id,shop_id,ordered_at,status,channel,discount_copper
ORD-000001,WIZ-01239,SHP-07,2024-07-01T18:08:26Z,completed,in_store,0
ORD-000002,WIZ-02584,SHP-05,2024-07-01 17:35:52,completed,courier_owl,0
ORD-000003,WIZ-01132,SHP-09,2024-07-01 11:01:42,completed,in_store,0
ORD-000004,WIZ-03742,SHP-02,2024-07-01T19:32:00Z,completed,in_store,0
ORD-000005,WIZ-03712,SHP-14,2024-07-01T14:57:00Z,completed,in_store,350
ORD-000006,WIZ-04439,SHP-06,2024-07-01 14:17:05,Completed,in_store,0
ORD-000007,WIZ-02813,SHP-07,2024-07-01T10:31:47Z,Completed,in_store,0
ORD-000008,WIZ-02855,SHP-08,2024-07-02T13:55:02Z,completed,in_store,0
ORD-000009,WIZ-02239,SHP-06,2024-07-02T13:19:08Z,completed,marketplace,0
ORD-000010,WIZ-00470,SHP-06,2024-07-02 09:12:31,completed,in_store,0
ORD-000011,WIZ-02767,SHP-02,2024-07-02 14:46:32,cancelled,courier_owl,0
ORD-000012,WIZ-03854,SHP-04,2024-07-02 11:13:50,completed,courier_owl,0
ORD-000013,WIZ-03042,SHP-03,2024-07-02 08:19:33,Completed,courier_owl,0
ORD-000014,WIZ-03517,SHP-12,2024-07-02 12:19:04,completed,in_store,0
ORD-000015,WIZ-01991,SHP-04,2024-07-02 09:43:50,Completed,in_store,200
ORD-000016,WIZ-03412,SHP-05,2024-07-02T12:54:26Z,completed,in_store,0
ORD-000017,WIZ-01017,SHP-06,2024-07-03T12:26:24Z,completed,marketplace,0
ORD-000018,WIZ-01146,SHP-01,2024-07-03T17:38:08Z,Completed,marketplace,0
ORD-000019,WIZ-00024,SHP-09,2024-07-03 18:52:27,completed,courier_owl,0
ORD-000020,WIZ-02956,SHP-04,2024-07-03T08:52:20Z,Completed,in_store,0
ORD-000021,WIZ-00372,SHP-15,2024-07-03T14:18:22Z,completed,in_store,0
ORD-000022,WIZ-02033,SHP-05,2024-07-03 16:45:28,Completed,courier_owl,0
ORD-000023,WIZ-02179,SHP-04,2024-07-03T12:35:09Z,completed,courier_owl,0
ORD-000024,WIZ-04965,SHP-14,2024-07-03T10:52:37Z,completed,marketplace,0
ORD-000025,WIZ-00954,SHP-02,2024-07-03T10:07:08Z,completed,courier_owl,0
ORD-000026,WIZ-03808,SHP-14,2024-07-03T11:36:30Z,completed,marketplace,0
ORD-000027,WIZ-04004,SHP-04,2024-07-04T12:52:12Z,completed,marketplace,0
