payment_id,order_id,method,amount_copper,status,paid_at
PAY-000001,ORD-000001,crystal_transfer,6428,success,2024-07-01T18:28:26Z
PAY-000002,ORD-000002,coin,3833,success,2024-07-01 17:45:52
PAY-000003,ORD-000003,guild_credit,2361,success,2024-07-01T11:15:42Z
PAY-000004,ORD-000004,coin,3539,success,2024-07-01T19:42:00Z
PAY-000005,ORD-000005,barter,12914,success,2024-07-01T15:07:00Z
PAY-000006,ORD-000006,guild_credit,2821,success,2024-07-01T14:41:05Z
PAY-000007,ORD-000007,coin,450,success,2024-07-01T10:51:47Z
PAY-000008,ORD-000008,coin,3210,success,2024-07-02T14:17:02Z
PAY-000009,ORD-000009,coin,6304,success,2024-07-02T13:30:08Z
PAY-000010,ORD-000010,guild_credit,3853,success,2024-07-02 09:33:31
PAY-000011,ORD-000011,coin,1903,failed,2024-07-02T14:56:32Z
PAY-000012,ORD-000012,coin,1710,success,2024-07-02T11:25:50Z
PAY-000013,ORD-000013,coin,3558,success,2024-07-02T08:42:33Z
PAY-000014,ORD-000014,crystal_transfer,9605,success,2024-07-02T12:46:04Z
PAY-000015,ORD-000015,coin,3514,success,2024-07-02 10:00:50
PAY-000016,ORD-000016,guild_credit,1216,success,2024-07-02T13:08:26Z
PAY-000017,ORD-000016,guild_credit,1414,success,2024-07-02 13:21:26
PAY-000018,ORD-000017,guild_credit,11626,success,2024-07-03T12:40:24Z
PAY-000019,ORD-000018,guild_credit,7376,success,2024-07-03 17:44:08
PAY-000020,ORD-000019,coin,1074,success,2024-07-03 19:04:27
PAY-000021,ORD-000020,coin,1216,success,2024-07-03T09:13:20Z
PAY-000022,ORD-000021,coin,1798,success,2024-07-03T14:46:22Z
PAY-000023,ORD-000022,guild_credit,3992,success,2024-07-03 17:13:28
PAY-000024,ORD-000023,coin,4247,success,2024-07-03T12:51:09Z
PAY-000025,ORD-000024,guild_credit,5398,success,2024-07-03T11:01:37Z
PAY-000026,ORD-000025,coin,9219,failed,2024-07-03 10:12:08
PAY-000027,ORD-000025,coin,9219,success,2024-07-03T10:37:08Z
PAY-000028,ORD-000026,coin,695,success,2024-07-03 11:58:30
PAY-000029,ORD-000027,coin,3743,success,2024-07-04 13:06:12
PAY-000030,ORD-000028,coin,326,success,2024-07-04T13:04:09Z
PAY-000031,ORD-000029,coin,7734,failed,2024-07-04 12:21:27
PAY-000032,ORD-000029,coin,7734,success,2024-07-04T12:44:27Z
PAY-000033,ORD-000030,coin,7658,success,2024-07-04 11:27:29
PAY-000034,ORD-000031,coin,2305,success,2024-07-04 12:22:01
PAY-000035,ORD-000032,coin,1039,success,2024-07-04T15:23:50Z
PAY-000036,ORD-000033,guild_credit,13541,success,2024-07-04 12:54:34
PAY-000037,ORD-000034,guild_credit,5720,success,2024-07-04 14:52:41
PAY-000038,ORD-000035,crystal_transfer,1241,success,2024-07-04T17:36:20Z
PAY-000039,ORD-000036,guild_credit,3574,success,2024-07-04T08:23:06Z
PAY-000040,ORD-000037,guild_credit,6550,success,2024-07-04T11:43:44Z
PAY-000041,ORD-000038,coin,1925,success,2024-07-04 10:46:39
PAY-000042,ORD-000039,coin,551,success,2024-07-05 16:52:11
