membership_id,customer_id,guild_id,tier,valid_from,valid_to
MEM-00001,WIZ-00001,GLD-04,apprentice,2024-01-08,
MEM-00002,WIZ-00004,GLD-11,apprentice,2024-06-16,2026-03-30
MEM-00003,WIZ-00004,GLD-11,Adept,2026-03-30,
MEM-00004,WIZ-00005,GLD-05,adept,2025-11-09,
MEM-00005,WIZ-00006,GLD-02,apprentice,2024-10-04,
MEM-00006,WIZ-00007,GLD-10,apprentice,2025-08-30,2025-10-23
MEM-00007,WIZ-00007,GLD-10,ADEPT,2025-10-23,
MEM-00008,WIZ-00008,GLD-10,Apprentice,2024-10-02,
MEM-00009,WIZ-00010,GLD-01,Adept,2024-06-03,
MEM-00010,WIZ-00012,GLD-08,apprentice,2024-04-12,
MEM-00011,WIZ-00015,GLD-06,apprentice,2023-03-25,
MEM-00012,WIZ-00017,GLD-10,Apprentice,2023-11-22,
MEM-00013,WIZ-00021,GLD-04,apprentice,2026-06-16,
MEM-00014,WIZ-00022,GLD-06,adept,2023-10-04,
MEM-00015,WIZ-00023,GLD-04,Adept,2024-07-29,
MEM-00016,WIZ-00027,GLD-04,Apprentice,2023-10-14,
MEM-00017,WIZ-00028,GLD-10,adept,2023-09-16,2024-06-22
MEM-00018,WIZ-00028,GLD-10,archmage,2024-06-22,
MEM-00019,WIZ-00029,GLD-06,apprentice,2025-11-05,
MEM-00020,WIZ-00030,GLD-04,archmage,2026-05-20,
MEM-00021,WIZ-00033,GLD-10,adept,2025-06-11,
MEM-00022,WIZ-00034,GLD-08,adept,2024-07-28,
MEM-00023,WIZ-00035,GLD-06,Adept,2024-07-07,
MEM-00024,WIZ-00036,GLD-05,adept,2025-11-02,
MEM-00025,WIZ-00038,GLD-12,adept,2026-06-10,
MEM-00026,WIZ-00039,GLD-09,apprentice,2026-04-23,2026-06-13
MEM-00027,WIZ-00039,GLD-09,adept,2026-06-13,
MEM-00028,WIZ-00040,GLD-04,adept,2026-03-16,
MEM-00029,WIZ-00041,GLD-11,apprentice,2024-06-06,
MEM-00030,WIZ-00042,GLD-09,adept,2025-11-23,
MEM-00031,WIZ-00043,GLD-06,Adept,2026-06-15,
MEM-00032,WIZ-00044,GLD-04,apprentice,2025-10-05,
MEM-00033,WIZ-00046,GLD-07,adept,2025-08-30,
MEM-00034,WIZ-00055,GLD-09,ADEPT,2026-03-29,
MEM-00035,WIZ-00056,GLD-05,apprentice,2023-03-05,
MEM-00036,WIZ-00057,GLD-06,apprentice,2024-12-18,
MEM-00037,WIZ-00059,GLD-08,apprentice,2026-05-29,
MEM-00038,WIZ-00060,GLD-09,Apprentice,2026-03-20,
MEM-00039,WIZ-00063,GLD-07,Apprentice,2024-11-16,
MEM-00040,WIZ-00064,GLD-06,adept,2026-03-01,
MEM-00041,WIZ-00065,GLD-11,adept,2025-08-01,2026-06-12
MEM-00042,WIZ-00065,GLD-11,archmage,2026-06-12,
MEM-00043,WIZ-00066,GLD-01,apprentice,2026-03-16,
MEM-00044,WIZ-00067,GLD-01,archmage,2025-03-31,
MEM-00045,WIZ-00069,GLD-07,apprentice,2024-12-05,
MEM-00046,WIZ-00070,GLD-04,Adept,2023-08-07,
MEM-00047,WIZ-00072,GLD-09,apprentice,2025-09-24,
MEM-00048,WIZ-00073,GLD-11,adept,2024-07-02,
MEM-00049,WIZ-00074,GLD-06,apprentice,2026-03-25,
MEM-00050,WIZ-00076,GLD-04,adept,2025-12-27,2026-01-27
MEM-00051,WIZ-00076,GLD-04,archmage,2026-01-27,
MEM-00052,WIZ-00079,GLD-05,apprentice,2024-08-13,
MEM-00053,WIZ-00080,GLD-01,Archmage,2023-09-17,
MEM-00054,WIZ-00082,GLD-01,apprentice,2026-02-07,
MEM-00055,WIZ-00083,GLD-01,adept,2026-02-27,
MEM-00056,WIZ-00085,GLD-05,Apprentice,2024-05-01,
MEM-00057,WIZ-00087,GLD-08,adept,2024-04-09,
MEM-00058,WIZ-00089,GLD-08,apprentice,2026-06-04,
MEM-00059,WIZ-00092,GLD-05,Apprentice,2023-11-03,2025-06-03
MEM-00060,WIZ-00092,GLD-05,adept,2025-06-03,
MEM-00061,WIZ-00094,GLD-01,ADEPT,2024-06-10,
MEM-00062,WIZ-00096,GLD-02,apprentice,2024-11-29,
MEM-00063,WIZ-00097,GLD-09,apprentice,2023-12-04,
MEM-00064,WIZ-00098,GLD-06,apprentice,2026-04-30,
MEM-00065,WIZ-00099,GLD-10,apprentice,2024-05-17,
MEM-00066,WIZ-00100,GLD-10,apprentice,2025-05-28,
MEM-00067,WIZ-00107,GLD-07,apprentice,2026-06-26,
MEM-00068,WIZ-00108,GLD-02,apprentice,2024-07-26,2026-05-14
MEM-00069,WIZ-00108,GLD-02,adept,2026-05-14,
MEM-00070,WIZ-00109,GLD-06,apprentice,2023-01-30,
MEM-00071,WIZ-00111,GLD-01,apprentice,2024-10-03,
MEM-00072,WIZ-00112,GLD-03,apprentice,2025-04-08,2025-08-05
MEM-00073,WIZ-00112,GLD-03,adept,2025-08-05,
MEM-00074,WIZ-00113,GLD-02,adept,2026-06-05,
MEM-00075,WIZ-00115,GLD-05,apprentice,2025-12-06,2026-04-29
MEM-00076,WIZ-00115,GLD-05,adept,2026-04-29,
MEM-00077,WIZ-00117,GLD-08,adept,2025-01-15,
MEM-00078,WIZ-00118,GLD-05,APPRENTICE,2026-02-09,
MEM-00079,WIZ-00119,GLD-04,ADEPT,2025-06-21,
MEM-00080,WIZ-00120,GLD-09,adept,2024-07-21,
MEM-00081,WIZ-00122,GLD-02,APPRENTICE,2025-11-22,
MEM-00082,WIZ-00123,GLD-01,apprentice,2025-08-01,
MEM-00083,WIZ-00125,GLD-09,Apprentice,2025-09-18,
MEM-00084,WIZ-00127,GLD-05,APPRENTICE,2026-06-21,
MEM-00085,WIZ-00128,GLD-03,adept,2023-11-13,
MEM-00086,WIZ-00130,GLD-04,adept,2025-07-05,
MEM-00087,WIZ-00132,GLD-06,apprentice,2024-12-09,
MEM-00088,WIZ-00133,GLD-10,apprentice,2023-08-10,
MEM-00089,WIZ-00134,GLD-11,archmage,2024-03-03,
MEM-00090,WIZ-00136,GLD-04,Apprentice,2026-02-13,
MEM-00091,WIZ-00137,GLD-07,archmage,2026-04-23,
MEM-00092,WIZ-00139,GLD-06,Apprentice,2023-07-06,
MEM-00093,WIZ-00140,GLD-05,apprentice,2024-01-16,
